"contactId";"customerTypeCode";"preferredContactMethod";"BranchName";"accountId";"jobTitle";"FullName";"department";"birthDate";"annualIncome";"MaritalStatus";"numberOfChildren";"TelePhone";"Address_id"
"6024";"Clubs and Associations";"Mobile";"Harvey, Konopelski and Bednar";"571";"Structural Engineer";"Consuela Gatteridge";"Accounting";"12/8/72";"93312207";"Married";"4";"0363-4014";"821"
"6071";"Individuals Joint";"Fax";"Medhurst, Emard and Brekke";"63";"Human Resources Assistant IV";"Carver Paquet";"Product Management";"7/23/1975";"5235737";"Married";"4";"0527-1347";"406"
"6005";"Limited Liability";"Fax";"Hegmann, Schmidt and Dicki";"312";"Computer Systems Analyst I";"Lark Hursthouse";"Sales";"8/6/78";"42225776";"Married";"4";"13913-005";"166"
"6069";"Companies";"Fax";"McLaughlin, Hoeger and Bergstrom";"232";"Software Test Engineer III";"Darb Whysall";"Research and Development";"8/3/89";"51506715";"Single";"2";"0023-4963";"113"
"6008";"Clubs and Associations";"Mobile";"Maggio, Considine and Glover";"920";"Web Designer II";"Romeo Spoward";"Training";"2/7/61";"1563462";"Single";"2";"0409-1920";"457"
"6050";"Companies";"Office";"Marks Inc";"779";"Community Outreach Specialist";"Goldina Lisciandri";"Product Management";"6/18/1986";"1860631";"Single";"2";"0085-1316";"790"
"6078";"Individuals Joint";"Fax";"Hessel-Swift";"228";"Account Representative IV";"Tuesday Ayerst";"Accounting";"8/30/1980";"12707300";"Married";"2";"0268-0839";"539"
"6070";"Partnership Firms";"Office";"Dooley, Kilback and Klein";"529";"Software Engineer I";"Todd Roelofs";"Engineering";"11/15/1998";"12132503";"Married";"1";"21695-439";"383"
"6080";"Limited Liability";"Mobile";"Wintheiser-Little";"432";"VP Marketing";"Ruby Lowerson";"Training";"1/10/85";"53395099";"Married";"6";"30142-533";"396"
"6098";"Partnership Firms";"Fax";"Dicki-Bartell";"897";"Product Engineer";"Read Chaddock";"Accounting";"3/6/92";"78462245";"Single";"6";"0258-3687";"571"
"6040";"Trusts";"Office";"Pfannerstill-Crist";"822";"Senior Quality Engineer";"Lyssa Crosswaite";"Human Resources";"7/11/89";"48722198";"Single";"6";"0115-1474";"344"
"6031";"Companies";"Email";"Dickinson Group";"310";"Legal Assistant";"Sindee Conws";"Business Development";"8/13/1974";"9126365";"Married";"4";"0179-8012";"835"
"6093";"Limited Liability";"Fax";"Nikolaus Group";"762";"Automation Specialist III";"Ashia Danels";"Research and Development";"9/7/84";"82553341";"Married";"4";"0049-0114";"325"
"6033";"Limited Liability";"Email";"Hoppe-Stehr";"196";"Geologist III";"Krystal Champion";"Human Resources";"7/9/83";"71625256";"Married";"1";"0054-4784";"110"
"6062";"Companies";"Office";"Ondricka, Cormier and Bahringer";"501";"Software Test Engineer II";"Derrek Stedell";"Business Development";"7/9/80";"51165733";"Single";"2";"0006-3628";"654"
"6077";"Companies";"Email";"Mohr, Turcotte and Cormier";"956";"Community Outreach Specialist";"Abey Jablonski";"Business Development";"11/26/1990";"49443659";"Married";"6";"0268-1133";"162"
"6089";"Companies";"Office";"Glover and Sons";"898";"Administrative Officer";"Nessa Pellman";"Training";"12/19/1990";"15938408";"Single";"3";"0615-7568";"259"
"6002";"Trusts";"Fax";"Muller, Hintz and Monahan";"401";"Marketing Manager";"Jabez Martel";"Human Resources";"12/21/1975";"20579390";"Married";"3";"11084-535";"329"
"6087";"Companies";"Mobile";"Wunsch and Sons";"856";"Professor";"Kipp Crighten";"Marketing";"3/26/1976";"67538782";"Married";"1";"0008-1222";"543"
